party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
-1,0,-0.023809523809523808,0.0,1.0,0.2,0,68.0,1,4,0.25,1/4_1/8_1/2_1/4,450.0,5,37
12,0,0.2857142857142857,0.0,0.0,0.0,1,-9.5,4,4,1.0,1/8_1/8_1/2_1/4,400.0,4,28
29,2,0.6904761904761905,0.4,0.0,0.0,1,-5.0,1,1,1.0,2,450.0,3,16
8,0,0.19047619047619047,0.0,1.0,0.2,1,-6.0,4,4,1.0,1_1/8_0_0,490.0,4,29
17,1,0.40476190476190477,0.2,0.0,0.0,1,-10.0,7,7,1.0,0_0_1/8_1/2_1/8_0_0,475.0,4,39
-7,4,-0.16666666666666666,0.8,1.0,0.2,0,23.0,0,1,0.0,2,450.0,3,15
12,1,0.2857142857142857,0.2,0.0,0.0,1,-12.5,2,2,1.0,1/4_1,375.0,4,23
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,50.5,2,6,0.3333333333333333,0_0_1/4_0_1/2_1/4,460.0,5,42
-5,0,-0.11904761904761904,0.0,2.0,0.4,0,96.0,0,6,0.0,1/2_0_1/4_0_1/4_1/8,490.0,4,40
16,2,0.38095238095238093,0.4,0.0,0.0,1,-5.0,1,1,1.0,2,450.0,3,14
6,1,0.14285714285714285,0.2,0.0,0.0,1,-5.5,2,2,1.0,1/4_1,375.0,5,29
-3,0,-0.07142857142857142,0.0,3.0,0.6,0,81.5,0,6,0.0,1/4_1/8_0_0_1/2_1/8,440.0,4,33
-2,0,-0.047619047619047616,0.0,1.0,0.2,0,16.0,0,1,0.0,2,450.0,3,13
-2,2,-0.047619047619047616,0.4,1.0,0.2,0,23.0,0,1,0.0,2,450.0,3,14
-7,3,-0.16666666666666666,0.6,1.0,0.2,0,16.0,0,1,0.0,2,450.0,3,15
-2,0,-0.047619047619047616,0.0,3.0,0.6,0,64.5,1,4,0.25,0_1/2_1/4_1/4,420.0,4,28
23,4,0.5476190476190477,0.8,0.0,0.0,1,-6.0,3,3,1.0,0_1_0,440.0,3,21
23,3,0.5476190476190477,0.6,0.0,0.0,1,-6.0,3,3,1.0,0_1_0,440.0,3,21
10,1,0.23809523809523808,0.2,0.0,0.0,1,-6.0,4,4,1.0,1_1/8_0_0,490.0,4,31
29,3,0.6904761904761905,0.6,0.0,0.0,1,-5.0,1,1,1.0,2,450.0,3,18
12,1,0.2857142857142857,0.2,0.0,0.0,1,-5.5,2,2,1.0,1_1/4,375.0,4,23
-2,2,-0.047619047619047616,0.4,1.0,0.2,0,16.0,0,1,0.0,2,450.0,3,13
27,3,0.6428571428571429,0.6,0.0,0.0,1,-6.0,3,3,1.0,0_0_1,440.0,3,19
10,1,0.23809523809523808,0.2,0.0,0.0,1,-6.0,4,4,1.0,0_0_1_1/8,490.0,5,33
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,58.0,0,1,0.0,2,450.0,3,13
12,2,0.2857142857142857,0.4,0.0,0.0,1,-6.0,3,3,1.0,1/2_1/8_1/2,450.0,5,31
-2,2,-0.047619047619047616,0.4,1.0,0.2,0,9.0,0,1,0.0,2,450.0,3,16
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,50.0,2,8,0.25,1/8_1/8_1/4_0_1/4_0_0_0,475.0,5,54
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,44.0,0,1,0.0,2,450.0,3,12
7,0,0.16666666666666666,0.0,1.0,0.2,1,-5.5,2,2,1.0,1/4_1,375.0,4,23
12,2,0.2857142857142857,0.4,0.0,0.0,1,-5.5,2,2,1.0,1_1/4,375.0,4,23
0,2,0.0,0.4,3.0,0.6,0,96.0,0,5,0.0,1/2_0_1/4_0_1/4,440.0,3,22
0,0,0.0,0.0,4.0,0.8,0,22.5,4,6,0.6666666666666666,0_1/4_1/4_1/4_1/8_0,390.0,5,41
-1,0,-0.023809523809523808,0.0,2.0,0.4,0,89.0,0,6,0.0,1/4_1/2_1/8_1/4_0_0,490.0,4,37
10,0,0.23809523809523808,0.0,0.0,0.0,1,-2.5,4,4,1.0,1/2_1/2_0_1/8,470.0,5,37
22,2,0.5238095238095238,0.4,0.0,0.0,1,-9.5,3,3,1.0,0_1_1/8,470.0,3,19
-1,1,-0.023809523809523808,0.2,3.0,0.6,0,117.0,0,6,0.0,1/4_0_0_1/8_1/4_1/2,490.0,4,32
-2,0,-0.047619047619047616,0.0,3.0,0.6,0,8.5,3,4,0.75,1/4_1/4_0_1/2,420.0,6,37
15,4,0.35714285714285715,0.8,0.0,0.0,1,-5.5,2,2,1.0,1/4_1,375.0,4,21
-2,0,-0.047619047619047616,0.0,2.0,0.4,0,106.5,0,5,0.0,1/4_1/2_1/8_1/4_0,470.0,3,27
0,0,0.0,0.0,5.0,1.0,0,43.0,2,7,0.2857142857142857,1/8_1/4_1/8_1/4_1/8_0_0,487.5,5,49
0,0,0.0,0.0,4.0,0.8,0,22.0,3,5,0.6,1/4_1/8_1/8_1/2_0,420.0,5,38
22,2,0.5238095238095238,0.4,0.0,0.0,1,-2.5,3,3,1.0,1/8_1_0,470.0,4,23
17,1,0.40476190476190477,0.2,0.0,0.0,1,-2.5,3,3,1.0,1_1/8_0,470.0,3,22
6,0,0.14285714285714285,0.0,0.0,0.0,1,-5.5,2,2,1.0,1_1/4,375.0,5,27
20,1,0.47619047619047616,0.2,0.0,0.0,1,-5.5,4,4,1.0,1/4_1/2_0_1/4,420.0,4,29
14,1,0.3333333333333333,0.2,0.0,0.0,1,-3.0,6,6,1.0,0_1/8_1/8_1/2_0_1/8,390.0,5,49
10,1,0.23809523809523808,0.2,0.0,0.0,1,-13.0,4,4,1.0,1/8_1_0_0,490.0,5,34
7,0,0.16666666666666666,0.0,0.0,0.0,1,-2.5,3,3,1.0,1/2_1/2_0,420.0,5,33
17,1,0.40476190476190477,0.2,0.0,0.0,1,-2.5,3,3,1.0,1/8_1_0,470.0,4,22
-2,1,-0.047619047619047616,0.2,1.0,0.2,0,2.0,0,1,0.0,2,450.0,3,16
27,1,0.6428571428571429,0.2,0.0,0.0,1,-2.5,3,3,1.0,1/8_1_0,470.0,3,19
16,2,0.38095238095238093,0.4,0.0,0.0,1,-5.0,1,1,1.0,2,450.0,3,15
0,0,0.0,0.0,4.0,0.8,0,70.5,1,8,0.125,1/8_1/4_0_0_1/8_1/8_1/8_1/8,487.5,4,47
11,0,0.2619047619047619,0.0,1.0,0.2,1,-2.5,7,7,1.0,0_1/4_0_0_1/8_1/4_1/8,450.0,5,47
23,2,0.5476190476190477,0.4,0.0,0.0,1,-2.5,4,4,1.0,1_0_0_0,460.0,3,20
9,0,0.21428571428571427,0.0,1.0,0.2,1,-5.5,4,4,1.0,1/2_1/4_1/4_0,420.0,5,33
0,0,0.0,0.0,3.0,0.6,0,29.0,3,6,0.5,1/2_1/4_0_1/8_0_0,410.0,4,37
7,0,0.16666666666666666,0.0,1.0,0.2,1,-2.0,2,2,1.0,1_1/2,450.0,4,25
16,0,0.38095238095238093,0.0,0.0,0.0,1,-5.0,1,1,1.0,2,450.0,3,18
-2,0,-0.047619047619047616,0.0,3.0,0.6,0,54.0,2,5,0.4,1/2_0_1/4_0_1/4,440.0,4,35
0,0,0.0,0.0,5.0,1.0,0,15.0,6,8,0.75,0_0_1/8_1/4_1/8_0_1/4_0,475.0,5,54
-2,2,-0.047619047619047616,0.4,1.0,0.2,0,16.0,0,1,0.0,2,450.0,3,15
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,75.0,1,6,0.16666666666666666,1/4_1/2_1/8_1/4_0_0,490.0,4,36
12,2,0.2857142857142857,0.4,0.0,0.0,1,-2.5,3,3,1.0,0_1_1/8,470.0,4,24
-5,0,-0.11904761904761904,0.0,3.0,0.6,0,117.0,0,6,0.0,1/4_1/8_1/4_1/8_1/4_0,420.0,4,35
-1,0,-0.023809523809523808,0.0,2.0,0.4,0,82.0,1,6,0.16666666666666666,1/4_1/8_1/4_0_1/2_0,490.0,4,38
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,64.0,1,7,0.14285714285714285,1/4_1/8_1/8_1/8_1/4_0_0,487.5,5,51
6,1,0.14285714285714285,0.2,0.0,0.0,1,-5.5,2,2,1.0,1/4_1,375.0,5,29
-7,4,-0.16666666666666666,0.8,1.0,0.2,0,58.0,0,1,0.0,2,450.0,2,7
9,0,0.21428571428571427,0.0,1.0,0.2,1,-6.0,4,4,1.0,1_0_1/8_0,490.0,5,33
-2,0,-0.047619047619047616,0.0,2.0,0.4,0,29.0,2,4,0.5,1/2_1/2_0_0,440.0,4,31
0,3,0.0,0.6,4.0,0.8,0,88.5,0,4,0.0,0_1/2_1/2_1/8,470.0,4,24
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,23.0,0,1,0.0,2,450.0,3,15
7,0,0.16666666666666666,0.0,1.0,0.2,1,-2.0,2,2,1.0,1_1/2,450.0,4,24
15,2,0.35714285714285715,0.4,0.0,0.0,1,-3.0,7,7,1.0,1/8_0_0_0_0_1/2_1/8,475.0,4,37
